rank,name,model,final_ui_speed,final_kartmove,speed,accel,boost,corner,drift,gauge,boosttime,maxboostcount,stable_at_tick,draft
1,블록 연카,lpeng-practice-block,114,31754,512,462,307,210,452,24,56,2,166,41
2,블록 코튼,loggamja-blockcotton,114,31709,508,491,297,215,457,20,57,2,170,41
3,리지드 솔리드,loggamja-solid-a2,114,31815,521,452,280,210,466,25,57,2,167,41
4,플라잉 황구,loggamja-dog,114,31756,520,440,290,208,467,19,57,2,169,42
5,마법의 빗자루,nekter-kk,114,31815,502,505,310,225,422,36,40,3,118,42
6,이걸루,lpeng-igloo,114,31748,516,465,290,203,462,21,58,2,172,42
7,컴포트 머슬,kite-muscle2,114,31805,521,442,295,200,470,23,59,2,174,43
8,연습카트,kite-practice-org,113,31553,508,480,307,198,460,26,54,2,157,43
9,연습카트 러쉬,kite-practice-rush,113,31570,508,490,298,200,448,22,55,2,160,43
10,연습카트 레드,lpeng-practice-red,113,31544,505,491,304,205,457,27,52,2,151,44
11,슬림 코튼,lpeng-cotton9,113,31631,508,486,296,218,457,21,57,2,112,44
12,하프 마라톤,lpeng-marathon,113,31432,508,492,288,200,472,21,60,2,179,44
13,세이버 프린스,lpeng-saberpro,113,31650,508,490,290,220,482,20,57,2,112,45
14,브루터스,lpeng-brutos,113,31430,505,495,300,192,474,26,56,2,167,45
15,난다 다오,loggamja-flydao,113,31541,506,490,295,214,460,22,57,2,167,45
16,눈사람,lpeng-snowman,113,31546,502,502,310,215,402,24,54,2,157,46
17,카트에 바나나,lpeng-banana,113,31568,507,490,300,210,437,24,58,2,115,46
18,가피시,lpeng-gafish,113,31547,508,488,292,210,471,28,55,2,160,46
19,스위피,lpeng-swipe,113,31480,507,485,296,215,464,25,57,2,169,47
20,인더스트,lpeng-indust,113,31527,505,502,290,210,464,27,56,2,164,47
21,프로토,loggamja-proto,113,31578,508,470,320,195,462,30,55,2,159,47
22,KL,lpeng-kl,113,31457,507,497,289,202,472,30,58,2,172,48
23,유버스,lpeng-ubus,113,31457,507,482,300,210,468,20,58,2,172,48
24,가마,ecyceeeee-gama,113,31476,508,480,300,200,492,30,55,2,163,48
25,붓,nekter-brush,113,31506,507,482,303,208,472,20,55,2,161,49
26,ㄷㄹ,glass-hangul1,113,31485,504,491,310,195,447,46,48,3,142,49
27,클래식 소닉,asdf-classicsonic,113,31490,514,495,300,125,412,40,55,2,162,49
28,양산형 파라곤,lpeng-paragonsr,113,31541,507,492,300,200,462,20,56,2,163,50
29,캐논 D,lpeng-cannon,113,31465,503,495,310,200,467,20,58,2,172,50
30,철창,lpeng-ironbar,113,31585,505,495,300,210,452,23,54,2,156,50
31,아이연카,loggamja-ironpractice,113,31460,507,500,290,195,460,21,57,2,169,51
32,벌쳐,loggamja-vulture-new,113,31574,506,492,302,199,461,26,57,2,165,51
33,전서래검,loggamja-diamondsword,113,31480,508,484,292,212,470,28,57,2,168,51
34,모토라,eisuraa-motor,113,31579,504,495,315,185,452,48,45,3,130,52
35,자석,comet09-magnet,113,31511,508,491,295,195,467,21,54,2,158,52
36,샌즈,asdf-sanskart,113,31633,505,489,309,213,441,26,56,3,110,52
37,아이온,loggamja-ionic,113,31531,508,486,300,200,462,20,57,2,167,53
38,마트 카트,nekter-market,112,31383,505,482,299,215,479,20,58,2,113,53
39,찐라면,lpeng-ramen,112,31401,507,482,302,200,460,26,54,2,107,53
40,축구공,tco-soccerball,112,31349,505,482,310,190,472,28,58,2,114,54
41,미니 스쿠터,lpeng-scooter,112,31359,505,498,290,200,452,40,56,3,110,54
42,노르딕,lpeng-nordic,112,31321,507,492,295,186,475,24,59,2,116,54
43,용상,nekter-korean1,112,31352,505,479,300,216,472,24,57,2,112,55
44,엔진 파츠,lpeng-engine,112,31194,502,492,310,195,432,30,60,3,177,55
45,4륜요람,resire-4wheelcradle,112,31368,503,507,295,197,472,23,57,2,111,55
46,로치 버스트,lpeng-bugrst,111,30997,487,562,323,172,446,21,56,2,110,56
47,판트 버스트,hyun-phant-burst,111,31054,485,560,326,190,456,22,56,2,108,56
48,루루,lpeng-lulu,111,30876,494,510,300,220,500,20,57,2,170,56
49,구구,ecyceeeee-999,111,30977,499,499,299,199,469,29,59,2,117,57
50,해적 거북,kimnub-pirate-turtle,111,31096,500,530,270,192,497,21,60,2,116,57
