rank,name,model,final_ui_speed,final_kartmove,speed,accel,boost,corner,drift,gauge,boosttime,maxboostcount,stable_at_tick,draft
1,메트로,loggamja-metro,116,32278,523,428,320,205,465,22,60,2,179,21
2,코튼,kite-cottonsr,115,32026,512,486,293,222,448,17,59,2,175,21
3,솔리드,kite-solidpro,115,32163,523,443,295,213,465,19,59,2,171,21
4,라임 솔리드,lpeng-limesolid,115,32201,520,456,295,213,465,19,59,2,117,22
5,섀도우 마라톤,lpeng-maraton-night,115,32099,521,455,293,210,470,15,64,2,188,22
6,이온,lpeng-eon,115,32127,512,500,280,230,446,15,58,2,169,22
7,밸지,lpeng-balzzi,115,32026,512,474,299,232,453,19,59,2,175,23
8,옐로우 파라곤,ecyceeeee-golden-paragon,115,32006,512,490,296,200,480,14,59,2,175,23
9,코리아,lpeng-korea,115,32026,512,482,300,212,466,14,59,2,175,23
10,네온 머슬카,lpeng-neon-muscle,115,32147,522,450,297,204,472,17,61,2,178,24
11,팬텀,nekter-phantom,115,32021,508,500,318,190,440,13,56,2,166,24
12,1톤 트럭,kite-bongo,115,32061,512,487,300,206,445,21,53,2,156,24
13,슈퍼 연카,kite-practice-super,114,31738,508,490,300,212,470,19,58,2,172,25
14,연습카트 제트,lpeng-practice-9,114,31725,508,487,300,216,475,17,57,2,170,25
15,연습카트 드리프트,tco-practice-drift,114,31733,508,489,300,216,454,20,59,2,175,25
16,코튼 드리프트,loggamja-cottonn1,114,31968,512,490,289,214,454,18,59,2,114,26
17,마라톤,kite-marathon,114,31710,509,496,290,208,470,14,65,2,194,26
18,세이버,lpeng-saber,114,31796,508,488,295,230,485,15,58,2,170,26
19,황금 마차,loggamja-invkart,114,31699,508,489,296,214,495,16,58,2,231,27
20,폭스,loggamja-fox,114,31902,511,500,279,218,460,25,59,2,116,27
21,비트,ecyceeeee-beat,114,31879,511,508,270,216,470,21,59,2,117,27
22,아이스 플라즈마,lpeng-iceplazma,114,31727,508,500,294,210,460,2,80,2,159,28
23,박스터,lpeng-boxter,114,31882,515,450,325,192,459,18,65,2,127,28
24,리벤저,lpeng-revenger,114,31748,508,492,300,212,460,15,60,2,177,28
25,올림포스,lpeng-olympos,114,31806,506,518,290,200,435,22,60,2,176,29
26,블리츠,lpeng-blech,114,31826,508,492,292,232,482,14,59,2,172,29
27,포니,kite-pony,114,31699,508,505,290,200,470,14,63,2,188,29
28,롤러 붓,lpeng-roller,114,31799,510,480,302,210,468,15,57,2,167,30
29,문블레이드,lpeng-moonblade,114,31763,508,500,300,200,435,21,60,2,177,30
30,스톰 블레이드,nekter-stormblade,114,31737,500,500,330,200,470,43,48,3,143,30
31,암흑 골머리,lpeng-skull,114,31790,512,482,290,210,460,21,60,2,176,31
32,Pink Venom 몬스터,loggamja-pink,114,31889,508,498,300,218,442,18,61,2,119,31
33,업사이드 다운,loggamja-upside,114,31842,508,490,306,214,454,18,60,2,119,31
34,황금 축구공,tco-golden-soccerball,114,31783,508,480,309,220,462,20,58,2,171,32
35,옵티머스 투프라임,lpeng-transformer,114,31928,512,470,307,212,457,20,56,2,111,32
36,골드 하운드,lpeng-hound,114,31854,508,495,314,187,470,23,57,2,165,32
37,디멘터,lpeng-dementer,114,31835,508,496,300,210,480,15,62,2,122,33
38,소닉 더 헤지혹,asdf-sonic,114,31944,514,410,375,175,494,30,48,3,137,33
39,섀도우 더 헤지혹,asdf-shadow,114,31873,504,450,336,240,600,34,41,1,119,33
40,관 갔다오,lpeng-daoth,114,31817,514,476,290,212,462,21,59,2,173,34
41,스탠더드wii,kite-mariokart-wii,114,31827,508,492,305,209,470,16,58,2,169,34
42,스탠더드8,kite-mariokart-8,114,31968,512,490,290,210,468,18,59,2,114,34
43,레이싱 카트,uprise-racekart,114,31699,508,490,298,212,468,18,58,2,231,35
44,몬스터,lpeng-monster,113,31625,508,480,300,218,490,28,58,2,114,35
45,렉키,lpeng-reckie,113,31627,499,489,334,220,460,47,53,3,105,35
46,윈드 엣지,lpeng-wind,113,31482,499,496,320,215,470,50,50,3,148,36
47,베이스,lpeng-base,113,31560,499,493,320,230,475,43,52,3,150,36
48,스플릿 윈드,lpeng-split,113,31485,498,504,325,204,470,41,56,3,165,36
49,소녀 미소,innosday-miso,113,31654,507,500,290,220,444,19,60,2,116,37
50,은월검,gangryu-silvermoonsword,113,31676,507,487,302,222,450,18,59,2,114,37
51,핑크 래빗,lpeng-rabbit,113,31595,502,500,320,200,454,16,58,2,114,37
52,실버 애로우,lpeng-silvertown,113,31647,512,475,296,198,444,22,60,2,118,38
53,할로윈 머슬,nekter-halloween,113,31471,507,499,290,199,460,17,58,2,172,38
54,캠핑 스쿠터,lpeng-doom-scooter,113,31690,504,466,337,210,490,43,50,3,141,38
55,버스트,kite-burst,112,31292,486,560,329,198,454,17,58,2,113,39
